#{"t_start": 1743878026.4469059, "env_id": "None"}
r,l,t
22.980007,70,8.044597
24.22701,73,9.760584
24.82801,72,11.242505
22.880009,70,12.750626
23.82801,72,14.204021
23.279009,71,15.749999
23.279009,71,17.160783
23.678009,72,18.55259
23.82801,72,19.920057
23.87801,72,21.526912
22.880009,70,22.956754
23.279009,71,24.352784
24.52601,74,25.859028
22.880009,70,27.288937
24.22701,73,28.937827
24.27701,73,30.283148
22.930008,70,31.62407
22.930008,70,33.056495
23.87801,72,34.502508
23.279009,71,35.967614
22.880009,70,37.390055
24.22701,73,38.994275
23.329008,71,40.339571
22.880009,70,41.660782
24.52601,74,43.135092
23.279009,71,44.608512
23.728008,72,46.066283
23.728008,72,47.486101
23.82801,72,53.607955
22.880009,70,54.972757
24.27701,73,56.507798
22.880009,70,58.258944
22.930008,70,60.240737
22.880009,70,61.692655
23.279009,71,63.018681
23.82801,72,64.366953
24.22701,73,65.811212
24.22701,73,67.482358
23.279009,71,68.9309
22.880009,70,70.248202
23.82801,72,71.670004
22.930008,70,73.23733
22.930008,70,74.664846
23.329008,71,76.113907
23.82801,72,77.599177
22.880009,70,79.085543
22.880009,70,80.410503
24.22701,73,81.78001
23.678009,72,83.402542
23.87801,72,85.253205
23.87801,72,86.69228
22.880009,70,88.023344
23.82801,72,89.424388
23.82801,72,90.997524
22.930008,70,92.406429
24.22701,73,93.823102
22.880009,70,95.287451
23.678009,72,101.343994
22.930008,70,102.708316
22.880009,70,104.167906
22.930008,70,105.622674
22.880009,70,107.03366
24.52601,74,108.489424
23.87801,72,109.836937
22.930008,70,111.123487
23.678009,72,112.533844
22.880009,70,114.180086
24.22701,73,115.720282
24.57601,74,117.105757
23.82801,72,118.456965
23.279009,71,119.971746
23.82801,72,121.466846
23.329008,71,122.975691
23.82801,72,124.464316
22.930008,70,125.879397
22.880009,70,127.218628
22.880009,70,128.731665
22.930008,70,130.389441
22.880009,70,131.911249
24.22701,73,133.44722
23.82801,72,134.961812
23.87801,72,136.407736
23.87801,72,137.941106
22.880009,70,139.458122
23.82801,72,141.134654
22.880009,70,142.779167
22.880009,70,149.362593
22.930008,70,150.766196
23.87801,72,152.309384
23.82801,72,153.885716
22.880009,70,155.450386
23.82801,72,156.958691
23.82801,72,158.503256
23.678009,72,159.862423
23.728008,72,161.312837
23.87801,72,162.864309
23.82801,72,164.601248
23.82801,72,166.246703
23.87801,72,167.79111
22.880009,70,169.448762
22.930008,70,171.058625
23.87801,72,172.765301
23.87801,72,174.150142
22.880009,70,175.81168
24.52601,74,177.648963
22.880009,70,179.135457
22.880009,70,180.65217
23.87801,72,182.170688
22.880009,70,183.584455
22.880009,70,185.063342
23.279009,71,186.649014
23.678009,72,188.26152
23.87801,72,189.810655
24.27701,73,191.330743
23.87801,72,197.373987
23.82801,72,198.880855
23.87801,72,200.245088
23.87801,72,201.779904
24.57601,74,203.480824
23.87801,72,205.367942
23.87801,72,206.854361
23.82801,72,208.264973
22.880009,70,209.622714
23.82801,72,211.211723
23.678009,72,212.790017
23.87801,72,214.217932
23.87801,72,215.643101
22.930008,70,217.17888
23.678009,72,218.704533
22.930008,70,220.248909
23.87801,72,222.012484
22.930008,70,223.368484
23.87801,72,224.79979
24.52601,74,226.229679
23.82801,72,227.845974
23.82801,72,229.390066
23.82801,72,230.910995
23.87801,72,232.892164
23.82801,72,234.451296
23.82801,72,236.088149
22.930008,70,237.81916
23.82801,72,239.358802
23.87801,72,241.23336
22.930008,70,248.421543
23.82801,72,249.956728
23.82801,72,251.581197
23.82801,72,253.392243
22.880009,70,255.172643
23.82801,72,256.78088
23.87801,72,258.497903
22.880009,70,260.071754
23.728008,72,261.566875
24.52601,74,263.046921
23.82801,72,264.520704
23.82801,72,265.995346
23.87801,72,267.452189
23.82801,72,268.865193
23.82801,72,270.265532
24.22701,73,271.625519
23.87801,72,273.004518
23.82801,72,274.419375
23.87801,72,275.739678
23.87801,72,277.095446
22.930008,70,278.534743
23.87801,72,279.923735
23.82801,72,281.316533
23.82801,72,282.809126
24.57601,74,284.313656
23.82801,72,286.029779
23.87801,72,287.462483
23.87801,72,288.923608
24.22701,73,294.970056
22.930008,70,296.28661
24.52601,74,297.812695
22.880009,70,299.135128
23.82801,72,300.572242
23.87801,72,301.965214
23.87801,72,303.498982
23.87801,72,304.906995
23.87801,72,306.292084
23.87801,72,307.696567
23.87801,72,309.263406
23.87801,72,310.71735
23.87801,72,312.177238
22.930008,70,313.526939
23.87801,72,315.108285
23.82801,72,316.489674
23.82801,72,317.915164
23.87801,72,319.304579
23.87801,72,320.827851
24.22701,73,322.215006
23.87801,72,323.577422
24.57601,74,325.011863
23.82801,72,326.550357
23.82801,72,327.939767
23.82801,72,329.415941
23.87801,72,330.808976
23.82801,72,332.417902
23.678009,72,333.851712
23.82801,72,335.243988
23.87801,72,341.023998
23.82801,72,342.583965
23.87801,72,344.40229
23.87801,72,346.14982
23.678009,72,347.844848
23.87801,72,349.216093
23.82801,72,350.496807
23.82801,72,351.804024
23.82801,72,353.115607
23.82801,72,354.550599
23.87801,72,356.502812
23.87801,72,357.889117
23.87801,72,359.342068
24.52601,74,360.7801
23.87801,72,362.194371
23.87801,72,364.055285
23.82801,72,365.583849
24.57601,74,367.508905
24.22701,73,369.061922
24.57601,74,371.216428
23.678009,72,372.843652
23.87801,72,374.504979
23.87801,72,375.864987
23.87801,72,377.350508
23.87801,72,378.908915
23.82801,72,380.72865
23.87801,72,382.042753
23.82801,72,383.618048
23.82801,72,391.005054
23.87801,72,392.410264
23.87801,72,393.739578
23.82801,72,395.094444
23.82801,72,397.236658
23.87801,72,398.739391
23.728008,72,400.41487
23.87801,72,401.905516
23.82801,72,403.308549
23.82801,72,404.753715
23.87801,72,406.500888
24.52601,74,408.281622
23.87801,72,409.688111
23.279009,71,411.269873
23.82801,72,412.868435
23.329008,71,414.659403
23.87801,72,416.384179
23.82801,72,417.855178
23.82801,72,419.292321
23.87801,72,420.612012
23.82801,72,422.359732
23.87801,72,423.767103
23.82801,72,426.294501
23.87801,72,427.750411
23.87801,72,429.496927
23.87801,72,430.907328
23.82801,72,432.772438
23.87801,72,434.638374
23.87801,72,436.156034
23.87801,72,443.317157
23.87801,72,444.654382
23.87801,72,446.141616
23.87801,72,447.583959
23.87801,72,449.765923
23.82801,72,451.440616
23.82801,72,453.140477
23.87801,72,454.693183
24.27701,73,456.220188
23.82801,72,458.15457
23.87801,72,459.897871
23.87801,72,461.204259
23.87801,72,462.554162
23.87801,72,463.989295
23.82801,72,465.459302
23.87801,72,466.983691
24.57601,74,468.813236
22.930008,70,470.151709
24.22701,73,471.845097
23.82801,72,473.217542
23.82801,72,474.67154
23.87801,72,476.238391
23.82801,72,478.194206
23.87801,72,479.870293
22.880009,70,481.815764
23.87801,72,483.297475
23.87801,72,485.380925
23.87801,72,486.878928
23.87801,72,493.733469
23.87801,72,495.044558
23.87801,72,496.415781
22.930008,70,497.814457
23.87801,72,499.289009
